URL,Page Title,Meta Description,H1,All Headings,Page Type,Main Content,CTAs/Buttons,Internal Links,External Links,Word Count,Gemini Summary,Generated Q&A,Scrape Status
https://buildfellowship.com,The Build Fellowship: H-1B Programs for Foreign Nationals,Providing the world&#x27;s best talent the opportunity to build the future of the United States through cap-exempt H-1B visas.,A cap‑exempt H‑1B solution trusted by companies nationwide,"H1: A cap‑exempt H‑1B solution trusted by companies nationwide
H2: An immigration pathway to train the future U.S. workforce
H3: A reliable immigration solution
H3: Fills talent gaps for U.S. companies
H3: Advances missions of U.S. colleges
H2: A cap-exempt H-1B program to help global talent build careers in the U.S.
H3: Find an H-1B visa solution
H3: Work with driven students from partners schools
H3: Browse our immigration resources
H2: Access specialized talent and maintain your competitive edge
H3: Attract the world’s top talent
H3: A back-up plan to the H-1B lottery
H2: Dynamic and immersive 8-week projects led by Build Fellows
H3: Industry-focused learning
H3: Resume building, entry-level projects
H3: Discover the Education Hub
H2: A trusted immigration solution for talent and companies
H3: Lauren Abda
H4: Founder, Branchfood
H3: Ketaki Adhikari
H4: Principal Research Associate, Foghorn Therapeutics
H3: Aisha Francis
H4: President, Franklin Tech
H3: Mason Zheng
H4: Founder, Telgorithm
H3: Jad Esber
H4: Founder, Koodos Labs
H3: Kendra Heard
H4: HR, Outrider.ai
H3: Robert DiFazio
H4: CEO, Parallel Bio
H3: Bob Webber
H4: Webber Arredondo Oja, LLC
H3: Alex Peters
H4: Peters Immigration Law P.C.
H3: Sophie Alcorn
H4: Alcorn Immigration Law
H3: Shritesh Bhattarai
H4: Open Avenues Fellow, Software Engineer at Remix Labs
H2: Immigration resources and fellowship information
H3: Events and webinars
H3: Fellowship guides and brochures
H3: Testimonials
H3: Frequently asked questions
H2: Partner with The Build Fellowship
H3: Nonprofits
H3: Universities
H3: Law Firms
H3: Be a part of The Build Fellowship",content page,"The Build Fellowship: H-1B Programs for Foreign Nationals A cap‑exempt H‑1B solution trusted by companies nationwide The Build Fellowship is a nationally recognized cap‑exempt H‑1B visa fellowship with a 99% approval rate. The program offers work visa pathways for global talent building careers and companies in the U.S. Get started Join our next info session Why Build? An immigration pathway to train the future U.S. workforce A reliable immigration solution The Build Fellowship offers a cap-exempt H-1B visa solution with a 99% acceptance rate, allowing foreign nationals to pursue careers in the U.S. Fills talent gaps for U.S. companies Attract the world’s top talent for full-time U.S. employment opportunities through partnering with The Build Fellowship. Advances missions of U.S. colleges The Build Fellowship partners with education institutions to build students’ industry skills through experiential learning projects. Get Started Learn More 0 + Foreign national participants 0 + Student participants 0 % Visa approval rate For global talent A cap-exempt H-1B program to help global talent build careers in the U.S. Find an H-1B visa solution If you are a foreign national who wants to work or continue working in the U.S., securing your visa is a top priority — The Build Fellowship is here to help. Get started Learn more Work with driven students from partners schools Build Fellows work part-time remotely leading students from partner colleges and universities in experiential, project-based learning while being sponsored for their cap-exempt H-1Bs. Get started Learn more Browse our immigration resources Explore resources, frequently asked questions, and webinars to ensure you understand all that The Build Fellowship has to offer. Get started For Companies Access specialized talent and maintain your competitive edge Attract the world’s top talent Attract the world’s top foreign nationals for full-time U.S. employment opportunities and retain existing talent by offering alternative visa solutions. Gain unique access to students entering the workforce who are trained with relevant industry knowledge. Get started Learn more A back-up plan to the H-1B lottery Achieve peace of mind knowing you have a back-up plan to the H-1B lottery, so you can forecast and plan your staff needs accordingly. Receive ongoing access to immigration support and guidance for your employees. Get started Learn more For students Dynamic and immersive 8-week projects led by Build Fellows Industry-focused learning Build Fellows lead students in real-world experiential learning projects and career development programming that will help them better understand their field of interest and bridge the gap between the classroom and industry. Get Started Learn more Resume building, entry-level projects Students produce deliverables they can showcase on their resumes and portfolios. Projects are designed to be accessible for students at any level of their professional career. Get Started Learn more Discover the Education Hub Join resume-building projects and gain hands-on experience with Build Fellows from the fast-growing industries. Get started Request more information Looking for more? Request more information Looking for more? Request more information Looking for more? Request more information Looking for more? Request more information Looking for more? Request more information Looking for more? Request more information Looking for more? Request more information Looking for more? Request more information Looking for more? Request more information Looking for more? Testimonials A trusted immigration solution for talent and companies Through The Build Fellowship we were able to retain exceptionally talented people that go above and beyond in their roles and are dedicated to the mission of our work. Lauren Abda Founder, Branchfood The Build Fellowship changed my life for the better! Not only did it do so in the most obvious way (set up an immigration pathway in the U.S.) but it also helped me discover my own leadership and management skills. ‍ Ketaki Adhikari Principal Research Associate, Foghorn Therapeutics The Build Fellowship has brought top talent from growing companies to inspire and educate our students. They have been instrumental in helping diverse learners build social capital and technical skills to land fulfilling roles at high-growth companies. ‍ Aisha Francis President, Franklin Tech The Build Fellowship has put together a superb program. We were able to get our employee from overseas and shepherd his H-1B capped process. Highly recommend as the complete end-to-end solution for your H-1B needs. ‍ Mason Zheng Founder, Telgorithm Through The Build Fellowship we were able to retain exceptionally talented people that go above and beyond in their roles and are dedicated to the mission of our work. Jad Esber Founder, Koodos Labs The Build Fellowship has given us peace of mind. This opportunity allows us to retain our top talent and gives our employees a chance to practice their leadership and project management skills. Kendra Heard HR, Outrider.ai We&#x27;re grateful to have learned about The Build Fellowship, which has been key to hiring and retaining talent in scientific expertise sets. Build is an invaluable resource in the face of an otherwise frustrating and opaque process. Robert DiFazio CEO, Parallel Bio Every year the H-1B cap lottery gets worse and the odds are stacked against employers and their candidates who require an H-1B work visa. I am very glad to have found out about Open Avenues [Build Fellowship] and its unique model to facilitate concurrent H-1B opportunities— it is definitely worth checking out. Bob Webber Webber Arredondo Oja, LLC The Open Avenues Foundation has proven to be an invaluable partner for my practice. The Build Fellowship has ensured that my clients are able to retain key foreign talent while participants can continue to develop their practical skills in the United States. This is an essential solution to problems posed by an unpredictable immigration landscape. Alex Peters Peters Immigration Law P.C. Our clients appreciate working with Open Avenues! The program provides an alternative path for individuals to live and work in the U.S. when their employment here is urgent and important and if they aren&#x27;t qualified for an O-1 yet or can&#x27;t afford to wait for the H-1B lottery. It&#x27;s wonderful being able to offer our clients an alternate path. Not only are our clients&#x27; lives and companies changed, but it&#x27;s amazing to pay it forward and improve the quality of U.S. STEM education for our students! Sophie Alcorn Alcorn Immigration Law Shritesh is a foreign national from Nepal, and came to the United States in 2015 to pursue his masters. He had a penchant for two things: entrepreneurship and mentorship—two pursuits he wanted to continue in the United States, a place he saw limitless in opportunities. After getting selected for The Build Fellowship by Open Avenues, Shritesh created an industry-based project through his company, Remix Labs where he was assigned a Queens College student named Wilber. An aspiring software engineer with a passion for coding and gaming, Wilber brought a fresh, technical perspective to the no-code software platform Remix Labs operates on. His dedication, above-and-beyond approach and work ethic did not go unnoticed. Shritesh was so impressed by his work, that Wilber became the first junior-level, no-interview hire. Mentoring Wilber and witnessing his growth reinforced the gratifying experience of guiding future tech talents. <br><b>“The internship at Remix Labs was great for someone like me who wanted to get into programming in the tech space. During the internship, I got exposure to the Remix Labs platform and all of its functionalities. The platform itself is a no-code tool used to build out applications. I also learned how to design the flow of an app process data in a programming environment. Shritesh was such a smart and approachable project leader, and helped me every step of the way. He was my biggest advocate and got me a job as a Product Engineer position at the company—with no interview! He believed in me that much! Though I’m not working on his team, I still consider him my mentor. He’s the reason I was able to start my career.”</b><br> Shritesh Bhattarai Open Avenues Fellow, Software Engineer at Remix Labs Previous slide Next slide Resources Immigration resources and fellowship information Events and webinars Keep up with The Build Fellowship&#x27;s updates and activities. Explore Fellowship guides and brochures Check out The Build Fellowship’s resources so you can take next steps. Explore Testimonials Read what Build Fellows, employers, and educators have to say about the fellowship. Explore Frequently asked questions Understand all aspects of The Build Fellowship. Explore Partners Partner with The Build Fellowship Nonprofits Start a Build Fellowship and hire Build Fellows at your nonprofit Learn More Universities Offer Build Fellowship educational programming at your university Learn More Law Firms Connect your clients with The Build Fellowship solutions Learn More Previous slide Next slide Be a part of The Build Fellowship Nominate a candidate today. Get started Request more information Looking for more? Request more information Looking for more? Request more information Looking for more? Request more information Looking for more? Request more information Looking for more? Request more information Looking for more? Request more information Looking for more? Request more information Looking for more? Request more information Looking for more? Request more information Looking for more?","The Fellowship
Partner with us
Resources
Previous slide
Next slide
Get started
Get Started
Be a part of The Build FellowshipNominate a candidate today.Get started
Contact us","https://buildfellowship.com/
https://buildfellowship.com/about-us
https://buildfellowship.com/nominate
https://webinars.buildfellowship.com/global-talent
https://buildfellowship.com/the-fellowship
https://buildfellowship.com/the-fellowship/global-talent
https://buildfellowship.com/resources
https://buildfellowship.com/fellowship/companies
https://hub.buildfellowship.com/projects
https://buildfellowship.com/the-fellowship/students
https://buildfellowship.com/contact
https://buildfellowship.com/resources/testimonials/lauren-abda
https://buildfellowship.com/resources/testimonials/ketaki-adhikari
https://buildfellowship.com/resources/testimonials/aisha-francis
https://buildfellowship.com/resources/testimonials/mason-zheng
https://buildfellowship.com/resources/testimonials/jad-esber
https://buildfellowship.com/resources/testimonials/kendra-heard
https://buildfellowship.com/resources/testimonials/robert-difazio
https://buildfellowship.com/resources/testimonials/bob-webber
https://buildfellowship.com/resources/testimonials/alex-peters","https://www.linkedin.com/company/thebuildfellowship/
https://www.instagram.com/thebuildfellowship/
https://www.youtube.com/@buildfellowship",1497,,,OK
https://buildfellowship.com/about-us,About Us – The Build Fellowship,Learn about The Build Fellowship&#x27;s mission to provide the world&#x27;s best talent with opportunities to build the future of the United States through cap-exempt H-1B visas.,Building pathways for global talent,"H1: Building pathways for global talent
H2: The Build Fellowship story
H2: The Build philosophy
H3: Talent transcends boundaries
H3: Global talent strengthens the U.S.
H3: Creativity is a solution
H2: In 2024, The Build Fellowship’s education programming is projected to serve over 500 individuals at 10 partner institutions with programming put on by 100 Fellows.
H3: We’re always looking for new talent",about,"About Us – The Build Fellowship Building pathways for global talent We believe when global talent builds in the United States, we all progress. Partner with us About The Build Fellowship story In 2014, The Build Fellowship’s Cofounder and Chief Immigration Officer, Jeff Goldman developed the legal infrastructure for what became the country’s first cap-exempt H-1B program, the Global Entrepreneur in Residence (GEIR) program. Jeff worked alongside USCIS and former Massachusetts Governor Deval Patrick to design a program that helped foreign national founders stay and build companies in Massachusetts, by working part-time for UMass Boston. Building on the success of that model, Jeff and Danielle - a father-daughter duo - came together in 2018 to solve the challenges of the adoption and implementation of the GEIR concept. Open Avenues Foundation became the first nonprofit affiliated with U.S. colleges and universities to offer part-time employment and cap-exempt H-1B sponsorship opportunities to foreign nationals willing to spend 5-hours per week leading students in skills-development programs. Over the last 5 years, Open Avenues Foundation has employed foreign founders and key talent from more than 150 companies within its Fellowship program, supporting 1000+ students from 12 colleges and universities around the United States. Now, The Build Fellowship is bringing this model to nonprofit partners across the country. $ 0 M contributed to the U.S. GDP by Build Fellows 0 % visa approval rate 0 + Student participants Values The Build philosophy Talent transcends boundaries Every person possesses the ability to achieve success, irrespective of their origin, background, or socio-economic status. Global talent strengthens the U.S. Foreign nationals are part and parcel to the United States’ rich social fabric, and robust economy. Varied cultural perspectives and incredible work ethic foster new ideas, which bloom into American businesses, creating more employment opportunities in the U.S. Creativity is a solution Creative thinking is the driver of effective and viable solutions. Build addresses entrenched challenges like immigration limitations, visa complications and talent scarcities through creativity and innovation. Impact In 2024, The Build Fellowship’s education programming is projected to serve over 500 individuals at 10 partner institutions with programming put on by 100 Fellows. Through The Build Fellowship, foreign nationals, in conjunction with nonprofit organizations, produce best-in-class research, publish industry content, lead 1-on-1 technical skills-building sessions, and offer industry guidance to college students and the public at-large in high-growth fields such as computer science, engineering, and biotechnology. In 2024, The Build Fellowship’s education programming is projected to serve over 500 individuals at 10 partner institutions with programming put on by 100 Fellows. This reflects a 600% growth in individuals served since 2020 along with more than a 300% increase in the number of partner institutions. We’re always looking for new talent Explore our open positions. Get started Request more information Looking for more? Request more information Looking for more? Request more information Looking for more? Request more information Looking for more? Request more information Looking for more? Request more information Looking for more? Request more information Looking for more? Request more information Looking for more? Request more information Looking for more? Request more information Looking for more?","The Fellowship
Partner with us
Resources
Get started
We’re always looking for new talentExplore our open positions.Get started
Contact us","https://buildfellowship.com/
https://buildfellowship.com/about-us
https://buildfellowship.com/nominate
https://buildfellowship.com/contact
https://buildfellowship.com/careers
https://buildfellowship.com/the-fellowship
https://buildfellowship.com/the-fellowship/global-talent
https://buildfellowship.com/the-fellowship/companies
https://buildfellowship.com/the-fellowship/students
https://hub.buildfellowship.com/projects
https://buildfellowship.com/partners
https://buildfellowship.com/partners/nonprofits
https://buildfellowship.com/partners/universities
https://buildfellowship.com/partners/law-firms
https://buildfellowship.com/resources
https://buildfellowship.com/resources/blog
https://buildfellowship.com/resources/events
https://buildfellowship.com/resources/faq
https://buildfellowship.com/resources/guides
https://buildfellowship.com/partners/law-firm-network","https://www.linkedin.com/company/thebuildfellowship/
https://www.instagram.com/thebuildfellowship/
https://www.youtube.com/@buildfellowship",518,,,OK
https://buildfellowship.com/nominate,The Build Fellowship: Start Your Build Journey,Be nominated for The Build Fellowship.,Join The Build Fellowship,"H1: Join The Build Fellowship
H3: I am a foreign national founder, entrepreneur, or expert in my field
H3: I’m an organization or individual looking to support a foreign national",content page,"The Build Fellowship: Start Your Build Journey Join The Build Fellowship Please select an option below. I am a foreign national founder, entrepreneur, or expert in my field Nominate yourself I’m an organization or individual looking to support a foreign national Nominate a candidate Request more information Looking for more? Request more information Looking for more? Request more information Looking for more? Request more information Looking for more? Request more information Looking for more? Request more information Looking for more? Request more information Looking for more? Request more information Looking for more? Request more information Looking for more? Request more information Looking for more?","The Fellowship
Partner with us
Resources
Get started
Contact us","https://buildfellowship.com/
https://buildfellowship.com/about-us
https://buildfellowship.com/nominate
https://buildfellowship.com/nominate/yourself
https://buildfellowship.com/nominate/candidate
https://buildfellowship.com/contact
https://buildfellowship.com/the-fellowship
https://buildfellowship.com/the-fellowship/global-talent
https://buildfellowship.com/the-fellowship/companies
https://buildfellowship.com/the-fellowship/students
https://hub.buildfellowship.com/projects
https://buildfellowship.com/partners
https://buildfellowship.com/partners/nonprofits
https://buildfellowship.com/partners/universities
https://buildfellowship.com/partners/law-firms
https://buildfellowship.com/resources
https://buildfellowship.com/resources/blog
https://buildfellowship.com/careers
https://buildfellowship.com/resources/events
https://buildfellowship.com/resources/faq","https://www.linkedin.com/company/thebuildfellowship/
https://www.instagram.com/thebuildfellowship/
https://www.youtube.com/@buildfellowship",104,,,OK
https://webinars.buildfellowship.com/global-talent,The Build Fellowship Webinars – Global Talent & Companies,Register for The Build Fellowship,,,content page,The Build Fellowship Webinars – Global Talent & Companies,,https://www.buildfellowship.com,,9,,,OK
https://buildfellowship.com/the-fellowship,The Build Fellowship: How it works,An in-depth look at how the program works.,Moving the U.S. forward,"H1: Moving the U.S. forward
H2: An overview of The Build Fellowship
H3: Build Fellows
H3: Companies
H3: Nonprofits
H3: Universities
H2: Admission requirements
H2: Fellowship timeline
H3: Evaluation & Contracting
H3: Visa processing
H3: Fellowship begins
H2: Frequently asked questions
H3: Who is the H-1B petitioner?
H3: How does this enable companies to sponsor a cap-exempt H-1B for talent?
H3: Who is eligible to sponsor a cap-exempt H-1B?
H2: Recommended resources
H3: Fellowship guides and brochures
H3: Testimonials
H3: Frequently asked questions
H3: Get started today",content page,"The Build Fellowship: How it works Moving the U.S. forward The Build Fellowship offers leading global talent the opportunity to share their expertise and grow careers and companies in the U.S. Get started Register for a webinar Looking for more? Register for a webinar Looking for more? Register for a webinar Looking for more? Register for a webinar Looking for more? Register for a webinar Looking for more? Register for a webinar Looking for more? Register for a webinar Looking for more? Register for a webinar Looking for more? Register for a webinar Looking for more? Register for a webinar Looking for more? How It Works An overview of The Build Fellowship Build Fellows Global talent applies for The Build Fellowship to access an immigration solution and train the future U.S. workforce. Companies Nominate global talent for The Build Fellowship to hire and retain employees, and also access a pipeline of candidates. Nonprofits Launch Build Fellowship programs to offer part-time, cap-exempt H-1B positions for global talent to work with university partners. Universities Partner with nonprofits to offer students access and work experiences with Build Fellows from high-growth companies. Requirements Admission requirements Qualifications Responsibilities Commitment A Bachelor&#x27;s degree or equivalent work experience in a specialized field Exhibit a commitment to dedicate 5-8 hours weekly to support workforce development and education initiatives Demonstrated expertise within a specialized field Candidates must have a benefactor (a company, organization, or individual) willing to support the Fellowship costs – Fellows cannot fund their own Fellowship. Get started timeline Fellowship timeline 1 Evaluation & Contracting 2 – 3 weeks Nomination and application Candidate screening and H-1B evaluation Contract signed 2 Visa processing 6 - 8 Weeks Petition document development Cap-exempt H-1B visa approved (if no RFE) 3 Fellowship begins 1 Week Employment starts Full-time employer files concurrent visa petition For individuals outside of the U.S., their Fellowship begins when they enter the United States with a visa stamp 0 + Foreign national participants 0 States with fellowships 0 Countries represented 0 % Visa approval rate Resources Frequently asked questions Who is the H-1B petitioner? How does this enable companies to sponsor a cap-exempt H-1B for talent? Who is eligible to sponsor a cap-exempt H-1B? View All Resources Recommended resources Fellowship guides and brochures Check out The Build Fellowship&#x27;s resources so you can take next steps. View Now Testimonials Read what Build Fellows, employers, and educators have to say about the fellowship. View Now Frequently asked questions Understand all aspects of The Build Fellowship. View Now Get started today The Build Fellowship is a nationwide, cap-exempt H-1B visa fellowship for global talent seeking to grow careers and companies in the United States. Get started Register for a webinar Looking for more? Register for a webinar Looking for more? Register for a webinar Looking for more? Register for a webinar Looking for more? Register for a webinar Looking for more? Register for a webinar Looking for more? Register for a webinar Looking for more? Register for a webinar Looking for more? Register for a webinar Looking for more? Register for a webinar Looking for more?","The Fellowship
Partner with us
Resources
Qualifications
Responsibilities
Commitment
Who is the H-1B petitioner?
How does this enable companies to sponsor a cap-exempt H-1B for talent?
Who is eligible to sponsor a cap-exempt H-1B?
Get started
Contact us","https://buildfellowship.com/
https://buildfellowship.com/about-us
https://buildfellowship.com/nominate
https://buildfellowship.com/contact
https://buildfellowship.com/resources/faq
https://buildfellowship.com/resources/guides
https://buildfellowship.com/resources/testimonials
https://buildfellowship.com/the-fellowship
https://buildfellowship.com/the-fellowship/global-talent
https://buildfellowship.com/the-fellowship/companies
https://buildfellowship.com/the-fellowship/students
https://hub.buildfellowship.com/projects
https://buildfellowship.com/partners
https://buildfellowship.com/partners/nonprofits
https://buildfellowship.com/partners/universities
https://buildfellowship.com/partners/law-firms
https://buildfellowship.com/resources
https://buildfellowship.com/resources/blog
https://buildfellowship.com/careers
https://buildfellowship.com/resources/events","https://www.linkedin.com/company/thebuildfellowship/
https://www.instagram.com/thebuildfellowship/
https://www.youtube.com/@buildfellowship",516,,,OK
https://buildfellowship.com/the-fellowship/global-talent,The Build Fellowship: H-1B Solutions for Global Talent,Learn about becoming a Build Fellow,A cap-exempt H-1B program for global talent,"H1: A cap-exempt H-1B program for global talent
H2: A cap-exempt H-1B visa solution with a 99% acceptance rate
H3: Visa Sponsorship & Support
H3: Part-Time, Remote Employment
H2: Admission requirements
H2: Get started with The Build Fellowship
H3: Reach out to your benefactor
H3: Visa processing
H3: Fellowship begins
H3: Read our guide on how to talk to your benefactor
H2: Recommended resources
H3: Cap-Exempt H-1B Solution for Top Talent
H3: Benefactor guide
H3: The Build Fellowship pricing model
H2: Frequently asked questions
H3: Who is the H-1B petitioner?
H3: How does this enable companies to sponsor a cap-exempt H-1B for talent?
H3: Who is eligible to sponsor a cap-exempt H-1B?
H3: Nominate yourself today
H1: Need help finding an immigration attorney?",content page,"The Build Fellowship: H-1B Solutions for Global Talent For global talent A cap-exempt H-1B program for global talent If you are a foreign national who wants to work, or continue working, in the U.S., securing your visa is a top priority —The Build Fellowship is here to help. Get started Register for a webinar Looking for more? Register for a webinar Looking for more? Register for a webinar Looking for more? Register for a webinar Looking for more? Register for a webinar Looking for more? Register for a webinar Looking for more? Register for a webinar Looking for more? Register for a webinar Looking for more? Register for a webinar Looking for more? Register for a webinar Looking for more? Benefits A cap-exempt H-1B visa solution with a 99% acceptance rate Visa Sponsorship & Support The Build Fellowship offers ongoing immigration support and guidance to Build Fellows, while sponsoring them for their part-time cap-exempt H-1B visas. This enables benefactors to file a full-time cap-exempt H-1B visa concurrently. Get started Part-Time, Remote Employment Fellows work 5+ hours per week launching projects and educational programming at partner universities to develop students’ skills and knowledge and prepare them for the future workforce. 1:1 lecture and mentorship sessions Experiential learning projects in your specialized field Hours are flexible and based on Fellow schedules Get started Requirements Admission requirements Qualifications Responsibilities Commitment A Bachelor&#x27;s degree or equivalent work experience in a specialized field Exhibit a commitment to dedicate 5-8 hours weekly to support workforce development and education initiatives Demonstrated expertise within a specialized field Candidates must have a benefactor (a company, organization, or individual) willing to support the Fellowship costs – Fellows cannot fund their own Fellowship. Get started $ 0 M Contributed to the U.S. GDP by Build Fellows 0 % Fellowship graduates listed on a patent $ 0 M+ Funding raised by Build Fellows How it works Get started with The Build Fellowship 1 Reach out to your benefactor Talk to your benefactor about The Build Fellowship. Get started with our sample email 2 Visa processing Fill out this form to nominate yourself for The Build Fellowship. 3 Fellowship begins Complete your application for The Build Fellowship and wait for next steps! Resources Read our guide on how to talk to your benefactor Get started Resources Recommended resources Brochure Cap-Exempt H-1B Solution for Top Talent View Now Brochure Benefactor guide View Now Guide The Build Fellowship pricing model View Now Resources Frequently asked questions Who is the H-1B petitioner? How does this enable companies to sponsor a cap-exempt H-1B for talent? Who is eligible to sponsor a cap-exempt H-1B? View All Nominate yourself today Ready to nominate yourself as a candidate for The Build Fellowship? Get started BUILD LAW FIRM NETWORK Need help finding an immigration attorney? We work with immigration attorneys from firms across the U.S. to offer an alternate path to the H-1B lottery. Explore our network Register for a webinar Looking for more? Register for a webinar Looking for more? Register for a webinar Looking for more? Register for a webinar Looking for more? Register for a webinar Looking for more? Register for a webinar Looking for more? Register for a webinar Looking for more? Register for a webinar Looking for more? Register for a webinar Looking for more? Register for a webinar Looking for more?","The Fellowship
Partner with us
Resources
Qualifications
Responsibilities
Commitment
Who is the H-1B petitioner?
How does this enable companies to sponsor a cap-exempt H-1B for talent?
Who is eligible to sponsor a cap-exempt H-1B?
Get started
ResourcesRead our guide on how to talk to your benefactorGet started
Explore our network
Contact us","https://buildfellowship.com/
https://buildfellowship.com/about-us
https://buildfellowship.com/nominate
https://buildfellowship.com/nominate/yourself
https://buildfellowship.com/contact
https://buildfellowship.com/resources/guides/employee-benefactor-sample-emails
https://buildfellowship.com/documents/The Build Fellowship - How to Talk with Your Benefactor.pdf
https://buildfellowship.com/documents/TBF_SolutionOneSheet.pdf
https://buildfellowship.com/documents/Benefactor-Guide.pdf
https://buildfellowship.com/resources/guides/the-build-fellowship-pricing-model
https://buildfellowship.com/resources/faq
https://buildfellowship.com/partners/law-firm-network
https://buildfellowship.com/the-fellowship
https://buildfellowship.com/the-fellowship/global-talent
https://buildfellowship.com/the-fellowship/companies
https://buildfellowship.com/the-fellowship/students
https://hub.buildfellowship.com/projects
https://buildfellowship.com/partners
https://buildfellowship.com/partners/nonprofits
https://buildfellowship.com/partners/universities","https://www.linkedin.com/company/thebuildfellowship/
https://www.instagram.com/thebuildfellowship/
https://www.youtube.com/@buildfellowship",556,,,OK
https://buildfellowship.com/resources,The Build Fellowship: Resources,Find helpful guides and articles about The Build Fellowship.,Immigration resources and fellowship information,"H1: Immigration resources and fellowship information
H2: Fellowship guides and brochures
H3: Global talent
H3: Nonprofits
H3: Companies
H3: Law firms & attorneys
H3: Colleges & universities
H2: Preview our information sessions
H2: Overview on the H-1B Visa with Danielle Goldman
H2: Understanding Cap Exempt H-1B Visa Organizations
H2: The H-1B Lottery & Next Steps if You Weren’t Selected
H2: Creative Problem Solving and Immigration Strategies with Jeff Goldman and James Pittman
H2: Legal Experts & Entreprenuers Shaping US Immigration
H2: Bridge Builders with Varun and Soundarya
H2: Discover our success stories
H2: Lauren Abda
H2: Ketaki Adhikari
H2: Aisha Francis
H2: Mason Zheng
H2: Jad Esber
H2: Kendra Heard
H2: Get answers to your questions
H3: What is The Build Fellowship?
H3: What is an H-1B visa?
H3: What is a cap-exempt H-1B?",content page,"The Build Fellowship: Resources Immigration resources and fellowship information Explore resources, frequently asked questions, and webinars to ensure you understand all that The Build Fellowship has to offer. Guides Fellowship guides and brochures Global talent Tips and tricks on how to talk to your prospective benefactor about The Build Fellowship. Explore Nonprofits Learn more about The Build Fellowship&#x27;s programming. Explore Companies Informational resources about The Build Fellowship cap-exempt H-1B process. Explore Law firms & attorneys Learn how to become a Build Fellowship partner law firm and more. Explore Colleges & universities Learn more about The Build Fellowship’s benefits and mission to support education in the U.S. Explore EVENTS Preview our information sessions Overview on the H-1B Visa with Danielle Goldman Understanding Cap Exempt H-1B Visa Organizations The H-1B Lottery & Next Steps if You Weren’t Selected Creative Problem Solving and Immigration Strategies with Jeff Goldman and James Pittman Legal Experts & Entreprenuers Shaping US Immigration Bridge Builders with Varun and Soundarya View All Testimonials Discover our success stories Lauren Abda Founder, Branchfood Ketaki Adhikari Principal Research Associate, Foghorn Therapeutics Aisha Francis President, Franklin Tech Mason Zheng Founder, Telgorithm Jad Esber Founder, Koodos Labs Kendra Heard HR, Outrider.ai View All Faq Get answers to your questions What is The Build Fellowship? What is an H-1B visa? What is a cap-exempt H-1B? View All Request more information Looking for more? Request more information Looking for more? Request more information Looking for more? Request more information Looking for more? Request more information Looking for more? Request more information Looking for more? Request more information Looking for more? Request more information Looking for more? Request more information Looking for more? Request more information Looking for more?","The Fellowship
Partner with us
Resources
What is The Build Fellowship?
What is an H-1B visa?
What is a cap-exempt H-1B?
Get started
Contact us","https://buildfellowship.com/
https://buildfellowship.com/about-us
https://buildfellowship.com/nominate
https://buildfellowship.com/resources/category/global-talent
https://buildfellowship.com/resources/category/nonprofits
https://buildfellowship.com/resources/category/companies
https://buildfellowship.com/resources/category/law-firms-attorneys
https://buildfellowship.com/resources/category/colleges-universities
https://buildfellowship.com/resources/events
https://buildfellowship.com/lauren-abda
https://buildfellowship.com/ketaki-adhikari
https://buildfellowship.com/aisha-francis
https://buildfellowship.com/mason-zheng
https://buildfellowship.com/jad-esber
https://buildfellowship.com/kendra-heard
https://buildfellowship.com/resources/testimonials
https://buildfellowship.com/resources/faq
https://buildfellowship.com/contact
https://buildfellowship.com/the-fellowship
https://buildfellowship.com/the-fellowship/global-talent","https://www.linkedin.com/company/thebuildfellowship/
https://www.instagram.com/thebuildfellowship/
https://www.youtube.com/@buildfellowship",282,,,OK
https://buildfellowship.com/fellowship/companies,,,,,,,,,,0,,,HTTP 404
